Plant,diameter,n_leaves,flowering_time,treatment,genotype,transformation,flat,col,row
Sh2.I3.6l,36.47,7,24,l,Sha,Sh2,12,I,3
Sh1.H3.6l,39.99,8,24,l,Sha,Sh1,12,H,3
Sh1.H1.6l,37.85,7,23,l,Sha,Sh1,12,H,1
Ba1.G1.6l,40.88,8,24,l,Bay,Ba1,12,G,1
Ba1.G2.6l,45.4,8,23,l,Bay,Ba1,12,G,2
Ba1.G4.6l,36.9,7,22,l,Bay,Ba1,12,G,4
Ba1.E1.6l,39.81,7,22,l,Bay,Ba1,12,E,1
Ba1.E3.6l,42.24,7,22,l,Bay,Ba1,12,E,3
Sh2.D4.6l,40.2,8,23,l,Sha,Sh2,12,D,4
Ba1.D2.6l,42.01,7,24,l,Bay,Ba1,12,D,2
Sh3.B2.6l,32.47,7,22,l,Sha,Sh3,12,B,2
Sh3.A1.6l,38.02,6,27,l,Sha,Sh3,12,A,1
Ba1.F1.6l,45.88,9,25,l,Bay,Ba1,12,F,1
Ba1.F4.6l,43.45,7,26,l,Bay,Ba1,12,F,4
Sh3.E4.6l,33.43,8,23,l,Sha,Sh3,12,E,4
Sh1.E2.6l,43.84,8,25,l,Sha,Sh1,12,E,2
Ba1.D1.6l,46.93,9,25,l,Bay,Ba1,12,D,1
Ba1.D3.6l,44.02,7,28,l,Bay,Ba1,12,D,3
Ba1.C4.6l,44.05,8,25,l,Bay,Ba1,12,C,4
Ba1.C3.6l,44.1,9,25,l,Bay,Ba1,12,C,3
Ba1.B1.6l,40.98,8,26,l,Bay,Ba1,12,B,1
Sh1.B3.6l,46.68,8,24,l,Sha,Sh1,12,B,3
Ba1.A4.6l,33.73,8,29,l,Bay,Ba1,12,A,4
Ba1.B4.6l,49.17,11,28,l,Bay,Ba1,12,B,4
Ba1.A3.6l,40.9,10,29,l,Bay,Ba1,12,A,3
Sh3.A2.6l,50.45,11,29,l,Sha,Sh3,12,A,2
Sh2.C1.6l,42.59,10,28,l,Sha,Sh2,12,C,1
Sh1.G3.6l,51.47,13,34,l,Sha,Sh1,12,G,3
