Plant,diameter,n_leaves,flowering_time,treatment,genotype,transformation,flat,col,row
Sh1.E3.2h,53.36,15,40,h,Sha,Sh1,3,E,3
Sh1.F3.2h,50.02,14,40,h,Sha,Sh1,3,F,3
Ba3.G3.2h,56.19,17,40,h,Bay,Ba3,3,G,3
Ba1.H3.2h,73.7,18,40,h,Bay,Ba1,3,H,3
Ba1.F4.2h,52.42,16,39,h,Bay,Ba1,3,F,4
Ba3.C4.2h,56.45,14,38,h,Bay,Ba3,3,C,4
Sh2.H1.2h,65.1,18,45,h,Sha,Sh2,3,H,1
Ba3.B3.2h,63.49,16,42,h,Bay,Ba3,3,B,3
Sh1.H4.2h,34.16,15,45,h,Sha,Sh1,3,H,4
Ba3.E4.2h,58.42,17,42,h,Bay,Ba3,3,E,4
Ba1.C3.2h,80.48,20,43,h,Bay,Ba1,3,C,3
Sh2.I3.2h,83.49,22,46,h,Sha,Sh2,3,I,3
Sh3.A4.2h,71.68,21,46,h,Sha,Sh3,3,A,4
Ba1.C1.2h,37.45,18,49,h,Bay,Ba1,3,C,1
Sh2.I3.2l,31.19,6,18,l,Sha,Sh2,4,I,3
Sh3.G1.2l,33.98,6,22,l,Sha,Sh3,4,G,1
Ba3.G3.2l,25.92,7,21,l,Bay,Ba3,4,G,3
Sh2.F2.2l,26.63,6,20,l,Sha,Sh2,4,F,2
Ba1.F4.2l,30.35,6,23,l,Bay,Ba1,4,F,4
Ba3.E2.2l,22.4,7,21,l,Bay,Ba3,4,E,2
Sh1.E3.2l,38.98,6,21,l,Sha,Sh1,4,E,3
Ba3.D1.2l,29.34,6,20,l,Bay,Ba3,4,D,1
Sh1.D2.2l,33.45,6,20,l,Sha,Sh1,4,D,2
Ba3.D3.2l,33.54,6,20,l,Bay,Ba3,4,D,3
Ba3.C4.2l,31.05,5,20,l,Bay,Ba3,4,C,4
Sh3.B1.2l,31.42,6,20,l,Sha,Sh3,4,B,1
Ba3.B2.2l,27.83,6,20,l,Bay,Ba3,4,B,2
Ba3.B3.2l,31.77,7,20,l,Bay,Ba3,4,B,3
Sh1.A1.2l,26.2,6,21,l,Sha,Sh1,4,A,1
Sh2.A3.2l,32.3,6,20,l,Sha,Sh2,4,A,3
Sh2.H1.2l,43.11,6,23,l,Sha,Sh2,4,H,1
Ba1.H2.2l,40.12,7,23,l,Bay,Ba1,4,H,2
Ba1.H3.2l,38.92,7,23,l,Bay,Ba1,4,H,3
Ba3.E4.2l,28.69,7,24,l,Bay,Ba3,4,E,4
Sh1.D4.2l,27.66,8,26,l,Sha,Sh1,4,D,4
Ba3.A2.2l,35.97,8,23,l,Bay,Ba3,4,A,2
Sh3.A4.2l,31.09,6,24,l,Sha,Sh3,4,A,4
Sh3.I1.2l,40.63,8,24,l,Sha,Sh3,4,I,1
Sh2.I2.2l,32.53,7,26,l,Sha,Sh2,4,I,2
Sh3.G4.2l,29.57,8,26,l,Sha,Sh3,4,G,4
Ba1.G2.2l,30.07,9,26,l,Bay,Ba1,4,G,2
Ba3.F1.2l,46.55,9,25,l,Bay,Ba3,4,F,1
Sh1.F3.2l,38,8,28,l,Sha,Sh1,4,F,3
Ba3.E1.2l,50.74,9,27,l,Bay,Ba3,4,E,1
Ba1.C3.2l,42.25,8,25,l,Bay,Ba1,4,C,3
Ba3.C2.2l,26.25,8,28,l,Bay,Ba3,4,C,2
Ba1.C1.2l,45.02,9,25,l,Bay,Ba1,4,C,1
Sh2.B4.2l,31.06,6,26,l,Sha,Sh2,4,B,4
Sh1.H4.2l,43.45,10,29,l,Sha,Sh1,4,H,4
Ba1.A3.3h,29.99,8,27,h,Bay,Ba1,5,A,3
Sh1.B2.3h,39.52,8,26,h,Sha,Sh1,5,B,2
Sh3.C1.3h,35.48,8,26,h,Sha,Sh3,5,C,1
Sh3.F1.3h,40.37,6,27,h,Sha,Sh3,5,F,1
Sh2.D4.3h,47.14,10,33,h,Sha,Sh2,5,D,4
Ba1.G4.3h,38.96,9,30,h,Bay,Ba1,5,G,4
Sh3.B1.3h,47.85,9,32,h,Sha,Sh3,5,B,1
Sh1.E3.3h,46.16,11,33,h,Sha,Sh1,5,E,3
Sh2.G3.3h,28.82,10,32,h,Sha,Sh2,5,G,3
Sh3.B4.3h,47.39,11,34,h,Sha,Sh3,5,B,4
Ba3.A4.3h,35.69,9,33,h,Bay,Ba3,5,A,4
Sh2.F3.3h,37.12,13,34,h,Sha,Sh2,5,F,3
Ba1.A1.3h,50.63,14,39,h,Bay,Ba1,5,A,1
Ba1.A2.3h,50.16,15,39,h,Bay,Ba1,5,A,2
Ba1.E1.3h,54.71,14,40,h,Bay,Ba1,5,E,1
Sh2.H1.3h,64.31,12,38,h,Sha,Sh2,5,H,1
Sh1.G2.3h,69.36,15,37,h,Sha,Sh1,5,G,2
Sh3.E2.3h,53.44,13,40,h,Sha,Sh3,5,E,2
Ba3.B3.3h,55.66,14,38,h,Bay,Ba3,5,B,3
Ba1.D3.3h,62.93,14,36,h,Bay,Ba1,5,D,3
Ba1.H3.3h,67.12,15,38,h,Bay,Ba1,5,H,3
Ba1.H4.3h,54.78,13,39,h,Bay,Ba1,5,H,4
Sh1.F4.3h,62.32,12,35,h,Sha,Sh1,5,F,4
Sh2.E4.3h,64.86,15,38,h,Sha,Sh2,5,E,4
Sh1.C4.3h,64.6,14,40,h,Sha,Sh1,5,C,4
Sh2.G1.3h,71.16,17,40,h,Sha,Sh2,5,G,1
Ba1.I1.3h,64.75,16,39,h,Bay,Ba1,5,I,1
Ba3.H2.3h,72.76,15,40,h,Bay,Ba3,5,H,2
Sh3.D2.3h,70.27,16,37,h,Sha,Sh3,5,D,2
Ba1.D1.3h,65.75,13,42,h,Bay,Ba1,5,D,1
Ba3.F2.3h,61.52,16,42,h,Bay,Ba3,5,F,2
Ba3.I3.3h,80.3,17,42,h,Bay,Ba3,5,I,3
Ba1.I2.3h,89.98,21,42,h,Bay,Ba1,5,I,2
Sh1.C2.3h,51.97,22,49,h,Sha,Sh1,5,C,2
Ba1.I2.3l,27.45,6,21,l,Bay,Ba1,6,I,2
Ba3.I3.3l,24.13,6,21,l,Bay,Ba3,6,I,3
Ba1.H3.3l,24.17,7,22,l,Bay,Ba1,6,H,3
Sh2.G1.3l,34.59,7,20,l,Sha,Sh2,6,G,1
Sh1.G2.3l,32.52,6,20,l,Sha,Sh1,6,G,2
Sh2.G3.3l,21.54,5,22,l,Sha,Sh2,6,G,3
Ba1.G4.3l,27.44,7,21,l,Bay,Ba1,6,G,4
Sh3.E2.3l,30.84,6,20,l,Sha,Sh3,6,E,2
Ba1.D3.3l,31.92,7,21,l,Bay,Ba1,6,D,3
Sh3.C1.3l,34.22,7,20,l,Sha,Sh3,6,C,1
Ba3.C3.3l,27.53,7,21,l,Bay,Ba3,6,C,3
Sh1.C4.3l,23.63,7,23,l,Sha,Sh1,6,C,4
Sh3.B1.3l,27.02,6,23,l,Sha,Sh3,6,B,1
Sh3.B4.3l,29.43,6,24,l,Sha,Sh3,6,B,4
Ba3.H2.3l,31.99,7,24,l,Bay,Ba3,6,H,2
Sh2.H1.3l,34.17,7,24,l,Sha,Sh2,6,H,1
Sh1.F4.3l,30.62,9,25,l,Sha,Sh1,6,F,4
Sh2.F3.3l,27.23,7,25,l,Sha,Sh2,6,F,3
Sh3.F1.3l,29.77,7,22,l,Sha,Sh3,6,F,1
Sh1.E3.3l,29.7,6,24,l,Sha,Sh1,6,E,3
Ba1.E1.3l,37.03,8,24,l,Bay,Ba1,6,E,1
Ba1.D1.3l,36.59,8,22,l,Bay,Ba1,6,D,1
Sh1.B2.3l,31.12,7,23,l,Sha,Sh1,6,B,2
Ba3.B3.3l,33,8,24,l,Bay,Ba3,6,B,3
Ba1.A3.3l,35.25,8,23,l,Bay,Ba1,6,A,3
Ba1.I1.3l,36.36,9,24,l,Bay,Ba1,6,I,1
Ba3.F2.3l,34.86,8,25,l,Bay,Ba3,6,F,2
Sh2.E4.3l,39.77,9,27,l,Sha,Sh2,6,E,4
Sh3.D2.3l,39.63,8,26,l,Sha,Sh3,6,D,2
Sh2.D4.3l,33.93,8,24,l,Sha,Sh2,6,D,4
Sh1.C2.3l,37.41,8,26,l,Sha,Sh1,6,C,2
Ba1.A1.3l,33.85,8,25,l,Bay,Ba1,6,A,1
Ba1.A2.3l,36.02,7,27,l,Bay,Ba1,6,A,2
Ba1.H4.3l,43.9,9,28,l,Bay,Ba1,6,H,4
Ba3.A4.3l,22.2,8,29,l,Bay,Ba3,6,A,4
Sh3.C1.4h,34.27,6,25,h,Sha,Sh3,7,C,1
Sh2.F3.4h,30.83,6,26,h,Sha,Sh2,7,F,3
Sh1.F2.4h,34.35,6,25,h,Sha,Sh1,7,F,2
Sh1.G4.4h,31.59,7,27,h,Sha,Sh1,7,G,4
Ba1.B1.4h,37.92,9,30,h,Bay,Ba1,7,B,1
Sh1.C2.4h,34.84,9,31,h,Sha,Sh1,7,C,2
Ba1.D4.4h,38.44,9,29,h,Bay,Ba1,7,D,4
Ba3.F4.4h,38.59,8,30,h,Bay,Ba3,7,F,4
Sh2.H1.4h,42.16,10,34,h,Sha,Sh2,7,H,1
Sh3.E4.4h,31.49,9,36,h,Sha,Sh3,7,E,4
Sh1.A1.4h,39.04,10,33,h,Sha,Sh1,7,A,1
Sh3.G1.4h,50.7,11,35,h,Sha,Sh3,7,G,1
Ba1.G3.4h,46.27,12,35,h,Bay,Ba1,7,G,3
Ba3.I2.4h,48.69,12,35,h,Bay,Ba3,7,I,2
Sh3.H4.4h,51.04,12,35,h,Sha,Sh3,7,H,4
Sh2.D1.4h,54.4,12,40,h,Sha,Sh2,7,D,1
Ba1.E1.4h,55.12,12,35,h,Bay,Ba1,7,E,1
Ba3.I1.4h,58.38,13,38,h,Bay,Ba3,7,I,1
Sh2.H2.4h,57.8,14,39,h,Sha,Sh2,7,H,2
Ba3.G2.4h,59.22,14,39,h,Bay,Ba3,7,G,2
Sh1.B3.4h,63.27,13,35,h,Sha,Sh1,7,B,3
Ba1.A3.4h,55.2,14,39,h,Bay,Ba1,7,A,3
Ba3.A4.4h,61.05,15,38,h,Bay,Ba3,7,A,4
Sh2.B4.4h,64.86,14,37,h,Sha,Sh2,7,B,4
Sh1.F1.4h,67.68,15,38,h,Sha,Sh1,7,F,1
Sh2.E2.4h,64.69,15,41,h,Sha,Sh2,7,E,2
Ba1.B2.4h,66.2,16,39,h,Bay,Ba1,7,B,2
Ba1.D3.4h,59.93,16,40,h,Bay,Ba1,7,D,3
Ba3.I3.4h,60.95,15,40,h,Bay,Ba3,7,I,3
Sh3.C4.4h,58.82,17,40,h,Sha,Sh3,7,C,4
Sh3.C3.4h,62.31,18,43,h,Sha,Sh3,7,C,3
Ba1.A2.4h,71.52,20,43,h,Bay,Ba1,7,A,2
Ba1.D2.4h,82.64,22,46,h,Bay,Ba1,7,D,2
Ba1.H3.4h,80.86,52,53,h,Bay,Ba1,7,H,3
Ba3.I3.4l,26.11,7,22,l,Bay,Ba3,8,I,3
Sh2.H1.4l,27.11,6,23,l,Sha,Sh2,8,H,1
Sh2.H2.4l,30.78,7,21,l,Sha,Sh2,8,H,2
Sh3.H4.4l,21.62,5,21,l,Sha,Sh3,8,H,4
Ba3.G2.4l,23.38,8,20,l,Bay,Ba3,8,G,2
Sh1.G4.4l,26.21,6,23,l,Sha,Sh1,8,G,4
Ba3.F4.4l,23.81,6,22,l,Bay,Ba3,8,F,4
Sh2.E2.4l,27.7,6,22,l,Sha,Sh2,8,E,2
Ba1.D3.4l,30.84,6,21,l,Bay,Ba1,8,D,3
Sh3.C1.4l,26.34,6,23,l,Sha,Sh3,8,C,1
Ba1.B1.4l,23.57,6,21,l,Bay,Ba1,8,B,1
Ba1.B2.4l,25.31,6,20,l,Bay,Ba1,8,B,2
Sh1.B3.4l,32.72,6,20,l,Sha,Sh1,8,B,3
Sh1.A1.4l,27.79,7,21,l,Sha,Sh1,8,A,1
Ba1.A3.4l,25.36,6,22,l,Bay,Ba1,8,A,3
Ba3.I1.4l,33.73,7,24,l,Bay,Ba3,8,I,1
Ba3.I2.4l,33.43,8,25,l,Bay,Ba3,8,I,2
Ba1.H3.4l,34.64,7,23,l,Bay,Ba1,8,H,3
Ba1.G3.4l,27.21,7,23,l,Bay,Ba1,8,G,3
Sh1.F1.4l,30.38,6,23,l,Sha,Sh1,8,F,1
Sh1.F2.4l,36.36,6,23,l,Sha,Sh1,8,F,2
Ba1.E1.4l,39.2,8,23,l,Bay,Ba1,8,E,1
Sh3.E4.4l,26.53,6,24,l,Sha,Sh3,8,E,4
Sh2.D1.4l,34.21,7,25,l,Sha,Sh2,8,D,1
Sh3.C3.4l,25.57,6,25,l,Sha,Sh3,8,C,3
Sh3.C4.4l,33.99,7,25,l,Sha,Sh3,8,C,4
Sh2.B4.4l,34.48,8,26,l,Sha,Sh2,8,B,4
Sh3.G1.4l,40.57,9,26,l,Sha,Sh3,8,G,1
Sh2.F3.4l,37.59,8,25,l,Sha,Sh2,8,F,3
Ba1.E3.4l,34.08,8,25,l,Bay,Ba1,8,E,3
Ba1.D2.4l,42.25,8,25,l,Bay,Ba1,8,D,2
Ba1.D4.4l,36.25,7,24,l,Bay,Ba1,8,D,4
Ba3.A4.4l,35.12,8,24,l,Bay,Ba3,8,A,4
Ba1.A2.4l,52.3,10,27,l,Bay,Ba1,8,A,2
Sh2.C3.5h,34.37,7,23,h,Sha,Sh2,9,C,3
Sh1.E4.5h,34.7,7,23,h,Sha,Sh1,9,E,4
Sh1.G2.5h,34.09,7,23,h,Sha,Sh1,9,G,2
Sh2.H2.5h,31.33,7,25,h,Sha,Sh2,9,H,2
Sh3.B4.5h,30.04,6,28,h,Sha,Sh3,9,B,4
Sh3.E3.5h,28.33,7,24,h,Sha,Sh3,9,E,3
Sh2.F4.5h,33.01,7,27,h,Sha,Sh2,9,F,4
Sh3.H1.5h,31.81,7,29,h,Sha,Sh3,9,H,1
Ba1.D3.5h,45.57,10,30,h,Bay,Ba1,9,D,3
Sh3.E1.5h,44.41,9,30,h,Sha,Sh3,9,E,1
Sh2.G1.5h,35.81,9,30,h,Sha,Sh2,9,G,1
Ba1.F3.5h,45.07,12,28,h,Bay,Ba1,9,F,3
Ba1.H4.5h,43.36,12,35,h,Bay,Ba1,9,H,4
Ba1.A1.5h,39.35,10,33,h,Bay,Ba1,9,A,1
Ba1.A2.5h,45.94,11,34,h,Bay,Ba1,9,A,2
Sh2.I3.5h,40.79,11,35,h,Sha,Sh2,9,I,3
Sh3.G4.5h,56.78,13,35,h,Sha,Sh3,9,G,4
Ba1.D4.5h,48.25,13,35,h,Bay,Ba1,9,D,4
Sh1.A4.5h,46.94,13,35,h,Sha,Sh1,9,A,4
Sh1.D2.5h,67.34,14,35,h,Sha,Sh1,9,D,2
Ba1.C1.5h,56.4,14,38,h,Bay,Ba1,9,C,1
Ba3.F1.5h,54.08,13,37,h,Bay,Ba3,9,F,1
Ba1.C2.5h,74.52,17,38,h,Bay,Ba1,9,C,2
Ba3.B2.5h,64.85,16,38,h,Bay,Ba3,9,B,2
Ba1.A3.5h,59.3,16,39,h,Bay,Ba1,9,A,3
Ba1.B3.5h,58.74,16,38,h,Bay,Ba1,9,B,3
Ba3.B1.5h,64.79,17,39,h,Bay,Ba3,9,B,1
Ba1.I1.5h,67.73,17,41,h,Bay,Ba1,9,I,1
Ba3.E2.5h,79.72,20,45,h,Bay,Ba3,9,E,2
Sh3.G3.5h,71.49,18,42,h,Sha,Sh3,9,G,3
Sh2.H3.5h,72.53,19,41,h,Sha,Sh2,9,H,3
Ba3.D1.5h,79.02,20,42,h,Bay,Ba3,9,D,1
Ba1.F2.5h,85.71,22,47,h,Bay,Ba1,9,F,2
Sh1.I2.5h,89.73,23,46,h,Sha,Sh1,9,I,2
Sh1.I2.5l,24.6,5,20,l,Sha,Sh1,10,I,2
Ba1.H4.5l,27.13,7,22,l,Bay,Ba1,10,H,4
Sh2.G1.5l,23.89,6,21,l,Sha,Sh2,10,G,1
Sh3.G3.5l,28.18,6,20,l,Sha,Sh3,10,G,3
Ba1.F3.5l,23,6,22,l,Bay,Ba1,10,F,3
Sh2.F4.5l,28.57,6,22,l,Sha,Sh2,10,F,4
Sh3.E1.5l,27.05,6,20,l,Sha,Sh3,10,E,1
Sh1.D2.5l,27.41,6,20,l,Sha,Sh1,10,D,2
Ba1.C1.5l,24.42,5,23,l,Bay,Ba1,10,C,1
Sh2.C3.5l,26.49,6,20,l,Sha,Sh2,10,C,3
Ba3.B1.5l,23.3,6,23,l,Bay,Ba3,10,B,1
Ba1.I1.5l,25.51,7,23,l,Bay,Ba1,10,I,1
Sh2.H2.5l,38.52,7,22,l,Sha,Sh2,10,H,2
Sh3.G4.5l,34.1,7,23,l,Sha,Sh3,10,G,4
Ba1.F2.5l,33.97,7,24,l,Bay,Ba1,10,F,2
Ba3.E2.5l,35.94,7,22,l,Bay,Ba3,10,E,2
Sh3.E3.5l,33.87,7,23,l,Sha,Sh3,10,E,3
Ba1.D4.5l,31.4,6,22,l,Bay,Ba1,10,D,4
Ba3.D1.5l,37.18,7,25,l,Bay,Ba3,10,D,1
Sh3.B4.5l,33.33,7,22,l,Sha,Sh3,10,B,4
Ba3.B2.5l,33.99,7,23,l,Bay,Ba3,10,B,2
Sh2.I3.5l,33.39,8,24,l,Sha,Sh2,10,I,3
Sh3.H1.5l,38.79,7,25,l,Sha,Sh3,10,H,1
Sh2.H3.5l,33.99,8,24,l,Sha,Sh2,10,H,3
Ba3.F1.5l,47.25,8,24,l,Bay,Ba3,10,F,1
Sh1.E4.5l,40.08,8,24,l,Sha,Sh1,10,E,4
Ba1.D3.5l,38.4,8,26,l,Bay,Ba1,10,D,3
Ba1.C2.5l,32.63,8,23,l,Bay,Ba1,10,C,2
Ba1.A2.5l,47.11,9,26,l,Bay,Ba1,10,A,2
Ba1.A3.5l,32.52,7,26,l,Bay,Ba1,10,A,3
Sh1.A4.5l,38.11,7,23,l,Sha,Sh1,10,A,4
Sh1.C4.5l,46.6,9,26,l,Sha,Sh1,10,C,4
Ba1.B3.5l,43.51,9,26,l,Bay,Ba1,10,B,3
Ba1.A1.5l,49.3,11,30,l,Bay,Ba1,10,A,1
Sh1.G2.5l,54.22,13,29,l,Sha,Sh1,10,G,2
Ba1.B1.6h,35.92,8,25,h,Bay,Ba1,11,B,1
Sh3.A1.6h,34.07,7,27,h,Sha,Sh3,11,A,1
Ba1.G1.6h,33.41,6,26,h,Bay,Ba1,11,G,1
Sh2.I3.6h,41.26,8,26,h,Sha,Sh2,11,I,3
Sh1.F2.6h,35.09,10,27,h,Sha,Sh1,11,F,2
Sh1.G3.6h,41.77,10,28,h,Sha,Sh1,11,G,3
Sh1.B3.6h,36,9,29,h,Sha,Sh1,11,B,3
Sh1.E2.6h,35.96,9,30,h,Sha,Sh1,11,E,2
Sh3.E4.6h,37.87,9,31,h,Sha,Sh3,11,E,4
Sh2.I1.6h,47.13,11,33,h,Sha,Sh2,11,I,1
Sh1.H3.6h,53.91,11,33,h,Sha,Sh1,11,H,3
Sh3.H4.6h,40.4,11,33,h,Sha,Sh3,11,H,4
Sh2.C1.6h,49.65,12,34,h,Sha,Sh2,11,C,1
Ba1.F1.6h,44.95,12,37,h,Bay,Ba1,11,F,1
Ba1.E3.6h,44.62,13,34,h,Bay,Ba1,11,E,3
Sh2.F3.6h,53.44,13,33,h,Sha,Sh2,11,F,3
Ba1.F4.6h,36.15,13,33,h,Bay,Ba1,11,F,4
Ba1.B4.6h,31.87,12,37,h,Bay,Ba1,11,B,4
Ba1.H2.6h,59.77,16,37,h,Bay,Ba1,11,H,2
Ba1.G2.6h,57.68,14,36,h,Bay,Ba1,11,G,2
Ba1.C2.6h,50.92,13,35,h,Bay,Ba1,11,C,2
Sh3.B2.6h,44.41,15,39,h,Sha,Sh3,11,B,2
Sh3.A2.6h,64.64,15,37,h,Sha,Sh3,11,A,2
Ba1.A3.6h,63.57,15,38,h,Bay,Ba1,11,A,3
Ba1.C3.6h,59.53,15,37,h,Bay,Ba1,11,C,3
Ba1.D1.6h,56.99,15,37,h,Bay,Ba1,11,D,1
Ba1.D2.6h,50.01,18,42,h,Bay,Ba1,11,D,2
Ba1.E1.6h,73.69,18,46,h,Bay,Ba1,11,E,1
Sh1.H1.6h,72.09,16,43,h,Sha,Sh1,11,H,1
Ba1.G4.6h,72.21,17,41,h,Bay,Ba1,11,G,4
Ba1.C4.6h,70.38,16,42,h,Bay,Ba1,11,C,4
Ba1.A4.6h,70.74,17,40,h,Bay,Ba1,11,A,4
Sh3.I2.6h,75.14,21,50,h,Sha,Sh3,11,I,2
Ba1.D3.6h,74.66,20,43,h,Bay,Ba1,11,D,3
Sh2.D4.6h,88.73,21,43,h,Sha,Sh2,11,D,4
Sh2.I1.6l,31.41,5,19,l,Sha,Sh2,12,I,1
Sh3.H4.6l,27.69,6,21,l,Sha,Sh3,12,H,4
Ba1.H2.6l,27.22,6,22,l,Bay,Ba1,12,H,2
Sh2.F3.6l,37.3,6,20,l,Sha,Sh2,12,F,3
Sh1.F2.6l,32.35,6,20,l,Sha,Sh1,12,F,2
Ba1.C2.6l,28.52,6,20,l,Bay,Ba1,12,C,2
Sh3.I2.6l,36.33,6,22,l,Sha,Sh3,12,I,2
